"","Site.ID","p1","p2","p3","yearid","siteyear_id"
"1","both_1",0,0,0,1,1
"2","both_10",0,0,0,1,2
"3","both_11",0,0,0,1,3
"4","both_12",0,0,0,1,4
"5","both_15",0,0,0,1,5
"6","both_16",0,0,0,1,6
"7","both_17",0,0,0,1,7
"8","both_18",0,1,0,1,8
"9","both_19island",0,0,0,1,9
"10","both_2",0,0,0,1,10
"11","both_20",0,0,0,1,11
"12","both_22",0,0,0,1,12
"13","both_24",0,0,0,1,13
"14","both_25",0,0,0,1,14
"15","both_26",0,0,0,1,15
"16","both_32",0,0,0,1,16
"17","both_34",0,0,0,1,17
"18","both_36",0,0,0,1,18
"19","both_38",0,0,0,1,19
"20","both_4",0,0,0,1,20
"21","both_40",0,0,0,1,21
"22","both_41",0,0,0,1,22
"23","both_42",0,0,0,1,23
"24","both_43",0,0,0,1,24
"25","both_46",0,0,0,1,25
"26","both_49",0,0,0,1,26
"27","both_4island",0,0,NA,1,27
"28","both_50",0,0,0,1,28
"29","both_51",0,0,0,1,29
"30","both_52",1,0,0,1,30
"31","both_53",0,0,0,1,31
"32","both_54",0,0,0,1,32
"33","both_55",0,0,0,1,33
"34","both_56",0,0,0,1,34
"35","both_57",1,1,0,1,35
"36","both_58",0,0,0,1,36
"37","both_59",0,0,0,1,37
"38","both_60",0,0,0,1,38
"39","both_61",0,0,0,1,39
"40","both_62",0,1,0,1,40
"41","both_63",0,0,0,1,41
"42","both_64",0,0,0,1,42
"43","both_66",0,0,0,1,43
"44","both_67",0,0,0,1,44
"45","both_68",0,0,0,1,45
"46","both_69",0,0,0,1,46
"47","both_7",0,0,0,1,47
"48","both_75",0,0,0,1,48
"49","both_77",0,0,0,1,49
"50","both_78",0,1,0,1,50
"51","both_79",0,0,0,1,51
"52","both_8",0,0,0,1,52
"53","both_80",0,0,0,1,53
"54","both_82",0,0,0,1,54
"55","both_84",0,0,0,1,55
"56","both_85",0,0,0,1,56
"57","both_88",0,0,0,1,57
"58","both_90",0,0,0,1,58
"59","both_91",0,0,0,1,59
"60","both_92",0,0,0,1,60
"61","both_94",0,0,0,1,61
"62","both_95",0,0,0,1,62
"63","pbOnly_12",0,0,0,1,63
"64","pbOnly_17",0,0,0,1,64
"65","pbOnly_21",0,0,0,1,65
"66","both_1",0,0,1,2,66
"67","both_10",0,0,0,2,67
"68","both_11",0,0,0,2,68
"69","both_12",0,0,0,2,69
"70","both_15",0,0,0,2,70
"71","both_16",1,0,0,2,71
"72","both_17",0,0,0,2,72
"73","both_18",0,0,0,2,73
"74","both_19island",0,0,0,2,74
"75","both_2",0,1,0,2,75
"76","both_20",0,0,0,2,76
"77","both_22",0,0,0,2,77
"78","both_24",0,0,0,2,78
"79","both_25",0,0,0,2,79
"80","both_26",0,0,1,2,80
"81","both_32",0,0,0,2,81
"82","both_34",0,0,0,2,82
"83","both_36",0,0,0,2,83
"84","both_38",0,0,0,2,84
"85","both_4",0,0,0,2,85
"86","both_40",0,0,0,2,86
"87","both_41",0,0,0,2,87
"88","both_42",0,0,0,2,88
"89","both_43",1,0,0,2,89
"90","both_46",0,1,0,2,90
"91","both_49",0,0,0,2,91
"92","both_4island",NA,NA,NA,2,92
"93","both_50",0,0,0,2,93
"94","both_51",0,0,0,2,94
"95","both_52",0,1,1,2,95
"96","both_53",0,0,0,2,96
"97","both_54",0,0,0,2,97
"98","both_55",0,0,1,2,98
"99","both_56",0,0,0,2,99
"100","both_57",0,0,0,2,100
"101","both_58",0,0,0,2,101
"102","both_59",0,0,0,2,102
"103","both_60",0,0,0,2,103
"104","both_61",0,0,0,2,104
"105","both_62",0,0,0,2,105
"106","both_63",0,0,0,2,106
"107","both_64",0,0,0,2,107
"108","both_66",0,0,0,2,108
"109","both_67",0,0,0,2,109
"110","both_68",0,0,0,2,110
"111","both_69",0,0,0,2,111
"112","both_7",0,0,0,2,112
"113","both_75",0,0,1,2,113
"114","both_77",0,0,0,2,114
"115","both_78",0,0,0,2,115
"116","both_79",0,0,0,2,116
"117","both_8",0,0,0,2,117
"118","both_80",0,0,0,2,118
"119","both_82",0,0,0,2,119
"120","both_84",0,0,0,2,120
"121","both_85",0,0,0,2,121
"122","both_88",0,0,0,2,122
"123","both_90",0,0,0,2,123
"124","both_91",0,0,0,2,124
"125","both_92",0,0,0,2,125
"126","both_94",0,0,0,2,126
"127","both_95",0,0,0,2,127
"128","pbOnly_12",0,0,0,2,128
"129","pbOnly_17",0,0,0,2,129
"130","pbOnly_21",0,0,0,2,130
