"X","Site.ID","Longitd","Latitud","x.utm14","y.utm14","dev","crop","grass","forest","shrub","barren","aquatic","water","ah","lo"
21,"both_1",-97.425286,26.216648,657315.6765,2900631.777,0.023134328,0,0.160447761,0.002985075,0.65,0.045522388,0.110447761,0.007462687,0.61509716,0.262255327
28,"both_10",-97.4110517,26.30514714,658617.5987,2910452.512,0.018018018,0,0.000750751,0,0.02027027,0.058558559,0.902402402,0,0.751121076,0
29,"both_11",-97.41084134,26.27657848,658677.4896,2907288.1,0.000748503,0,0.021706587,0.008233533,0.010479042,0.002994012,0.955838323,0,0.773542601,0.012640693
30,"both_12",-97.41033092,26.25127811,658762.8804,2904486.106,0.043283582,0,0.006716418,0.014925373,0.313432836,0.07238806,0.549253731,0,0.764179104,0
63,"both_15",-97.40026,26.289281,659716.8025,2908708.236,0.026256564,0,0.034508627,0,0.009752438,0.197299325,0.732183046,0,0.197319434,0
19,"both_16",-97.397499,26.334683,659930.1342,2913741.054,0.023099851,0,0.018628912,0,0.178092399,0.19076006,0.458271237,0.131147541,0.546746447,0
31,"both_17",-97.39734118,26.31366461,659974.7755,2911412.934,0.008196721,0,0.024590164,0,0.031296572,0.014157973,0.920268256,0.001490313,0.773273273,0.011604746
32,"both_18",-97.39868573,26.26139991,659912.2234,2905621.67,0.027488856,0,0.027488856,0.00371471,0.252600297,0.125557207,0.348439822,0.214710253,0.246441948,0
26,"both_19island",-97.22250337,26.39213248,677310.3041,2920334.042,0,0,0.191505216,0,0.000745156,0.253353204,0.389716841,0.164679583,0.680898876,0
23,"both_2",-97.422262,26.235819,657591.9754,2902759.078,0.059701493,0,0.029850746,0,0.02761194,0.190298507,0.691791045,0.000746269,0.345318352,0.007274617
8,"both_20",-97.392377,26.215256,660605.7582,2900517.931,0,0,0.023952096,0.013473054,0.016467066,0.021706587,0.776946108,0.14745509,0.201352367,0
6,"both_22",-97.386114,26.295923,661120.1731,2909461.554,0.025487256,0.011994003,0.012743628,0.000749625,0.036731634,0.095202399,0.745127436,0.071964018,0.442696629,0
20,"both_24",-97.387004,26.246195,661099.9658,2903951.839,0.014200299,0,0.198804185,0.002989537,0.122571001,0.02690583,0.201793722,0.432735426,0.336329588,0.010735931
34,"both_25",-97.38347158,26.34183836,661320.3771,2914551.148,0,0.001491424,0.019388516,0,0.079791201,0.565995526,0.310961969,0.022371365,0.250560957,0
18,"both_26",-97.38095,26.325643,661594.5516,2912760.248,0.039375929,0,0.079494799,0.000742942,0.167161961,0.011144131,0.702080238,0,0.716429107,0
17,"both_32",-97.375877,26.311002,662121.3501,2911144.738,0.027653214,0.001494768,0.491778774,0,0.02690583,0,0.452167414,0,0.70201643,0
35,"both_34",-97.37419531,26.21459775,662423.3684,2900467.664,0.003725782,0,0.283159463,0.001490313,0.704918033,0.000745156,0.005961252,0,0.074738416,0.182062392
10,"both_36",-97.37151,26.133445,662804.4192,2891481.427,0.051263001,0.374442793,0.064635958,0.013372957,0.484398217,0,0.011887073,0,0.429424944,0.037152507
36,"both_38",-97.36680489,26.33612618,662991.8959,2913939.312,0.030574198,0,0.004474273,0,0.123042506,0.245339299,0.596569724,0,0.653213752,0
22,"both_4",-97.419144,26.256164,657875.959,2905016.557,0.069888476,0,0,0,0.401486989,0.046840149,0.481040892,0.000743494,0.896162528,0
5,"both_40",-97.364666,26.351018,663184.492,2915591.678,0.016393443,0,0.033532042,0.001490313,0.132637854,0.298062593,0.411326379,0.106557377,0.559550562,0
16,"both_41",-97.364708,26.296344,663256.9757,2909535.046,0.019388516,0.379567487,0.173750932,0.011185682,0.104399702,0.01043997,0.301267711,0,0.926260346,8.66e-05
37,"both_42",-97.3615563,26.32175867,663535.9813,2912354.368,0.034328358,0.046268657,0.000746269,0.000746269,0.134328358,0.049253731,0.734328358,0,0.743628186,0
38,"both_43",-97.36635853,26.05489613,663428.6628,2882786.799,0.020089286,0,0.014880952,0.000744048,0.648065476,0.050595238,0.264136905,0.001488095,0.732183046,0
7,"both_46",-97.35857,26.212616,663987.4296,2900267.805,0.016369048,0.036458333,0.166666667,0.006696429,0.595982143,0.026785714,0.134672619,0.016369048,0.032137519,0.041746059
39,"both_49",-97.35496608,26.04472174,664582.7646,2881674.085,0.011940299,0,0.006716418,0,0.002985075,0.047761194,0.930597015,0,0.91554559,0
24,"both_4island",-97.28483998,26.50562444,670923.2158,2932822.476,0,0,0,0,0,1,0,0,0,0
40,"both_50",-97.35091963,26.19355003,664778.7202,2898165.471,0.061239731,0.339805825,0.005974608,0,0.459297984,0.112023898,0.021657954,0,0.440690691,0
