"o.sites","counted","marked","yearname","year","cheatgrass","sagebrush","Feb.minT","AprMay.maxT"
1,"yes","no","yr2007",2007,4.2,1.5,-11.1,32.2
2,"no","no","yr2007",2007,10.4,1.2,-11.1,32.2
3,"no","no","yr2007",2007,11.5,19,-11.1,32.2
4,"yes","no","yr2007",2007,12,7.3,-11.1,32.2
5,"no","no","yr2007",2007,9.1,1.1,-11.1,32.2
6,"yes","no","yr2007",2007,26.6,4.5,-11.1,32.2
7,"no","no","yr2007",2007,10.3,0,-11.1,32.2
8,"yes","yes","yr2007",2007,9.9,3.5,-11.1,32.2
9,"no","no","yr2007",2007,8.7,0.3,-11.1,32.2
10,"yes","no","yr2007",2007,3.3,2.4,-11.1,32.2
11,"yes","no","yr2007",2007,2.9,2.9,-11.1,32.2
12,"yes","no","yr2007",2007,13.7,12.9,-11.1,32.2
13,"yes","yes","yr2007",2007,11.5,12,-11.1,32.2
14,"yes","yes","yr2007",2007,11.5,13.5,-11.1,32.2
15,"no","no","yr2007",2007,8.8,1.3,-11.1,32.2
16,"no","no","yr2007",2007,3,0.6,-11.1,32.2
17,"yes","no","yr2007",2007,10.3,4.2,-11.1,32.2
18,"no","no","yr2007",2007,0.1,0,-11.1,32.2
19,"yes","no","yr2007",2007,10.6,3.5,-11.1,32.2
20,"yes","no","yr2007",2007,7.3,0.3,-11.1,32.2
21,"yes","no","yr2007",2007,10.3,3.3,-11.1,32.2
22,"yes","no","yr2007",2007,12.9,0.6,-11.1,32.2
23,"no","no","yr2007",2007,13.3,3.7,-11.1,32.2
24,"no","no","yr2007",2007,16.2,0.9,-11.1,32.2
25,"no","no","yr2007",2007,17,6.6,-11.1,32.2
26,"yes","no","yr2007",2007,7.3,0.2,-11.1,32.2
27,"no","no","yr2007",2007,11.8,0.7,-11.1,32.2
28,"no","no","yr2007",2007,2.4,0.5,-11.1,32.2
29,"no","no","yr2007",2007,7.1,0.3,-11.1,32.2
30,"yes","no","yr2007",2007,6.8,1.1,-11.1,32.2
31,"no","no","yr2007",2007,16.3,7.6,-11.1,32.2
32,"no","no","yr2007",2007,2.6,0.1,-11.1,32.2
33,"no","no","yr2007",2007,10.8,11.9,-11.1,32.2
34,"no","no","yr2007",2007,17,8.3,-11.1,32.2
35,"yes","no","yr2007",2007,21.9,4.1,-11.1,32.2
36,"no","no","yr2007",2007,2.5,1.8,-11.1,32.2
37,"yes","no","yr2007",2007,6.2,0.3,-11.1,32.2
38,"yes","no","yr2007",2007,2.3,0,-11.1,32.2
39,"yes","yes","yr2007",2007,4.1,0,-11.1,32.2
40,"no","no","yr2007",2007,7.5,1.7,-11.1,32.2
41,"no","no","yr2007",2007,11.8,7.5,-11.1,32.2
42,"no","no","yr2007",2007,10.1,3.8,-11.1,32.2
43,"no","no","yr2007",2007,4.5,0.6,-11.1,32.2
44,"yes","no","yr2007",2007,10,8,-11.1,32.2
45,"yes","no","yr2007",2007,1,1.8,-11.1,32.2
46,"yes","yes","yr2007",2007,2.1,0.6,-11.1,32.2
47,"no","no","yr2007",2007,16.5,0.3,-11.1,32.2
48,"no","no","yr2007",2007,0.2,0,-11.1,32.2
49,"yes","no","yr2007",2007,16.9,11.6,-11.1,32.2
