"","idno","id","SiteID","year","shrub","perennial","annual","herbaceous"
"1",1,"ARTR1_2022","ARTR1",2022,25.3899993896484,20.1700000762939,9.06999969482422,29.2399997711181
"2",2,"ARTR1_2023","ARTR1",2023,26.0400009155273,22.5499992370605,9.6899995803833,32.2399988174438
"3",3,"POSE1_2022","POSE1",2022,7.07000017166138,26.5100002288818,12.5799999237061,39.0900001525879
"4",4,"POSE1_2023","POSE1",2023,7.1100001335144,27.7000007629395,20.1700000762939,47.8700008392334
"5",5,"SDHALP4_2022","SDHALP4",2022,7.65999984741211,40.7299995422363,13.4099998474121,54.1399993896484
"6",6,"SDHPLA4_2022","SDHPLA4",2022,5.65999984741211,25.0799999237061,16.75,41.8299999237061
"7",7,"SDHPLA4_2023","SDHPLA4",2023,6.48999977111816,28.0900001525879,17.6000003814697,45.6900005340576
"8",8,"SDHPLA5_2021","SDHPLA5",2021,3.32999992370605,33.0299987792969,29.5300006866455,62.5599994659424
"9",9,"SDHPLA5_2023","SDHPLA5",2023,7.28999996185303,28.1100006103516,27.3500003814697,55.4600009918213
"10",10,"SDHPLA6_2021","SDHPLA6",2021,0.649999976158142,28.5200004577637,29.9500007629395,58.4700012207032
"11",11,"SRHALP2_2022","SRHALP2",2022,23.4699993133545,21.6000003814697,11.1099996566772,32.7100000381469
"12",12,"SRHPLA3_2021","SRHPLA3",2021,16.3400001525879,25.1100006103516,14.8599996566772,39.9700002670288
"13",13,"SRHPLA4_2021","SRHPLA4",2021,20.8199996948242,23.0300006866455,11.1400003433228,34.1700010299683
"14",14,"SRHPLA5_2022","SRHPLA5",2022,24.9300003051758,20.8899993896484,10.539999961853,31.4299993515014
"15",15,"SSHALP1_2022","SSHALP1",2022,22.2600002288818,24.7199993133545,9.51000022888184,34.2299995422363
"16",16,"SSHALP1_2023","SSHALP1",2023,21.5599994659424,30.8600006103516,13.210000038147,44.0700006484986
"17",17,"SSHPLA3_2021","SSHPLA3",2021,20.7000007629395,23.0900001525879,10.9099998474121,34
"18",18,"SSHPLA3_2023","SSHPLA3",2023,25.5699996948242,22.8500003814697,12.1499996185303,35
"19",19,"SSHPLA4_2021","SSHPLA4",2021,16.8199996948242,24.8799991607666,12.039999961853,36.9199991226196
"20",20,"SSHPLA6_2022","SSHPLA6",2022,24.3500003814697,20.7999992370605,12.0200004577637,32.8199996948242
